ID,Age,Gender,Angry,Disgust,Fear,Happy,Sad,Surprised,Neutral,Style1,VStyle1,Style2,VStyle2,Style3,VStyle3
3fd2d00c,20,Male,0.04988511085510254,0.0019721391797065733,0.08895031929016113,0.06299772262573242,0.14722665786743164,0.046257333755493166,0.6027108001708984,Romantic,0.15395650171485087,Casual,0.14283890267109856,Eclectic,0.1401909831008601
f8a09958,20,Male,0.04988511085510254,0.0019721391797065733,0.08895031929016113,0.06299772262573242,0.14722665786743164,0.046257333755493166,0.6027108001708984,Romantic,0.15395650171485087,Casual,0.14283890267109856,Eclectic,0.1401909831008601
28bca289,30,Male,0.020239698886871337,0.00027366545051336287,0.01250915765762329,0.8603533172607422,0.015394657850265503,0.08598419189453126,0.005245218873023987,Casual,0.14296263284115154,Eclectic,0.12961204217398548,Romantic,0.11813739510238032
8aaeaeea,30,Male,0.020239698886871337,0.00027366545051336287,0.01250915765762329,0.8603533172607422,0.015394657850265503,0.08598419189453126,0.005245218873023987,Casual,0.14296263284115154,Eclectic,0.12961204217398548,Romantic,0.11813739510238032
6c108f45,20,Male,0.01871782898902893,0.000721951425075531,0.022833218574523927,0.003094918131828308,0.057860922813415525,0.02368902921676636,0.8730821228027343,Eclectic,0.18737279952473335,Casual,0.1721059015518788,Business,0.10435317629290651
b4b8686c,20,Male,0.01871782898902893,0.000721951425075531,0.022833218574523927,0.003094918131828308,0.057860922813415525,0.02368902921676636,0.8730821228027343,Eclectic,0.18737279952473335,Casual,0.1721059015518788,Business,0.10435317629290651
be4d2af7,20,Male,0.01871782898902893,0.000721951425075531,0.022833218574523927,0.003094918131828308,0.057860922813415525,0.02368902921676636,0.8730821228027343,Eclectic,0.18737279952473335,Casual,0.1721059015518788,Business,0.10435317629290651
b8d83ae6,27,Female,0.003542783856391907,0.00010708661749958992,0.0026325950026512145,0.9218617248535156,0.003321168124675751,0.05974286556243896,0.008791894912719726,Casual,0.14867353178089934,Eclectic,0.14652052231831644,Vintage,0.12818425160990854
95748d57,27,Female,0.003542783856391907,0.00010708661749958992,0.0026325950026512145,0.9218617248535156,0.003321168124675751,0.05974286556243896,0.008791894912719726,Casual,0.14867353178089934,Eclectic,0.14652052231831644,Vintage,0.12818425160990854
692448e1,27,Female,0.003542783856391907,0.00010708661749958992,0.0026325950026512145,0.9218617248535156,0.003321168124675751,0.05974286556243896,0.008791894912719726,Casual,0.14867353178089934,Eclectic,0.14652052231831644,Vintage,0.12818425160990854
